Rack #,,Bag #,30,40,N,50,60,E,Area 1,Burial Number,Cluster #,Date,Previously Sampled,Notes,Initials,,,,,,,,
6,,-,30,40,N,70,80,E,3,2A,,,,8 teeth; adult,MBB,,,,,,,,
15,,-,30,40,N,70,80,E,3,2B,,,,TEETH- CHILD,GM,,,,,,,,
15,,-,30,40,N,70,80,E,3,3,,,,RIBS,GM,,,,,,,,
25,,-,30,40,N,70,80,E,3,4,,,,Infant ribs,AWA,,,,,,,,
8,,-,30,40,N,70,80,E,3,6,,,Yes,10 teeth; adult,MBB,,,,,,,,
-,,5,30,40,N,50,60,E,Area 1,,,1993,,"""Herbivore tooth. Perhaps Elephant. Evans/Kuchor 1993"" - written on bag.",MBB,,,,,,,,
33,,,30,40,N,50,60,E,Area 1,,9,1998,,Clavicle; UKN,AWA,,,,,,,,
,,6,30,40,N,50,60,E,Area 1,,,1998,,"RIBS, TEETH, AND SKIN OR TISSUE",GM,,,,,,,,
35,,,30,40,N,50,60,E,Area 1,,10,1998,,"2 bone fragments; UKN (""Cluster 10"") ",MBB,,,,,,,,
5,,,30,40,N,50,60,E,,1.,,,,9 teeth; adult,MBB,,,,,,,,
5,,,30,40,N,50,60,E,,2.,,,,14 teeth; adult,MBB,,,,,,,,
4,,-,30,40,N,50,60,E,,3.,,,,~13 broken teeth and fragments; child,MBB,,,,,,,,
8,,-,40,50,N,70,80,E,4,2,,,,2 rib fragments; adult,MBB,,,,,,,,
13,,-,40,50,N,70,80,E,4,3,,,,5 teeth; adult,MBB,,,,,,,,
18,,,40,50,N,70,80,E,4,5#1,,,Yes,Tooth; adult,AWA,,,,,,,,
17,,-,50,60,N,50,60,E,18,2,,,,Powdered tissue sample,MBB,,,,,,,,
10,,-,70,80,N,60,70,E,11,10,,1998,Yes,4 fragmented teeth; adult,MBB,,,,,,,,
10,,-,70,80,N,60,70,E,11,6,,1998,,Tissue; UKN,MBB,,,,,,,,
6,,-,140,160,N,50,60,E ,NNW,2.,,,Yes,1 tooth; adult,MBB,,,,,,,,
8,,-,140,160,N,50,60,E,NNW,3.,,,,5 teeth; adult,MBB,,,,,,,,
8,,-,140,160,N,50,60,E,NNW,3.,,,,4 rib fragments; adult,MBB,,,,,,,,
9,,-,140,160,N,50,60,E,NNW,4.,,,,3 teeth; adult,MBB,,,,,,,,
12,,-,140,160,N,50,60,E ,NNW,5.,,,,"5 TEETH; ADULT W/ TISSUE?, TOOTH DECAY PRESENT",CIE,,,,,,,,
11,,,140,160,N,50,60,E,NNW,5.,,,,BRAIN,GM,,,,,,,,
31,,-,140,160,N,50,60,E ,NNW,6.,14,1998,,Skin and fungi,AWA,,,,,,,,
35,,,140,160,N,50,60,E,NNW,8.,10,1998,,"Tissue; UKN (""Cluster 10"") ",MBB,,,,,,,,
33,,,140,160,N,50,60,E ,NNW,8.,9,1998,,Unknown tissue,AWA,,,,,,,,
33,,,140,160,N,50,60,E,NNW,8.,9,1998,,Long bone,AWA,,,,,,,,
5,,,140,160,N,50,60,E ,NNW,9.,,,,9 teeth; adult,MBB,,,,,,,,
6,,-,140,160,N,50,60,E ,NNW,9.,,,,3 teeth; child,MBB,,,,,,,,
6,,-,140,160,N,50,60,E,NNW,9,,,,~23 broken teeth and fragments; child,MBB,,,,,,,,
16,,-,140,150,N,50,60,E,NW,2.,,,,"""Rib 1 2 of 2"" - Written on the tube; 2 rib fragments; UKN",MBB,,,,,,,,
3,,-,140,160,N,50,60,E,NW,4.,,,,~6 TEETH AND FRAGMENTS,GM,,,,,,,,
4,,-,140,160,N,50,60,E ,NW,4.,,,,4 teeth; tissue; child,MBB,,,,,,,,
6,,-,140,150,N,50,60,E,NW,5.,,,,7 teeth; adult (some tissue),MBB,,,,,,,,
8,,-,140,150,N,50,60,E,NW,7.,,,,4 rib fragments; child,MBB,,,,,,,,
25,,-,140,150,N,50,60,E,NW,8.,,,,Rib pieces; child,AWA,,,,,,,,
31,,,140,150,N,50,60,E,NW,9.,,,Yes,Tooth,AWA,,,,,,,,
2,,-,140,150,N,50,60,E,NW,10.,,,,~12 broken teeth and fragments; adult,MBB,,,,,,,,
-,,?,140,150,N,50,60,E,NW,11.,,,,UNKNOWN TISSUE,CIE,,,,,,,,
21,,-,140,150,N,50,60,E,NW,12.,,,,Empty tube with dust residue,MBB,,,,,,,,
5,,,140,150,N,50,60,E,NW,12.,,,Yes,2 teeth; adult,MBB,,,,,,,,
17,,-,140,150,N,50,60,E,NW,12.,,,,Powdered bone sample,MBB,,,,,,,,
-,,?,140,150,N,50,60,E,NW,13.,,1989,,"6 TEETH; ADULT ""AREA 11""",CIE,,,,,,,,
10,,-,140,150,N,50,60,E,NW,14.,,1998,,Skin; UKN,MBB,,,,,,,,
10,,-,140,150,N,50,60,E,NW,14.,,1998,,Bone fragments; UKN,MBB,,,,,,,,
14,,,140,160,N,50,60,E ,NW,15.,,,,FOOT SKIN,GM,,,,,,,,
14,,,140,150,N,50,60,E,NW,16.,,,,SKIN FROM FOOT,GM,,,,,,,,
14,,,140,160,N,50,60,E ,NW,16.,,,,TISSUE FROM CRANIAL CAVITY,GM,,,,,,,,
8,,-,140,160,N,50,60,E,NW,16.,,,,2 rib fragments; child (some tissue),MBB,,,,,,,,
8,,-,140,160,N,50,60,E,NW,16.,,,,7 rib fragments; child,MBB,,,,,,,,
-,,4,140,150,N,50,60,E,NW,17.,,,,HAIR,CIE,,,,,,,,
2,,-,140,150,N,50,60,E,NW,18.,,,Yes,~14 broken teeth and fragments; adult,MBB,,,,,,,,
12,,-,140,150,N,50,60,E,NW,19.,,,,15 TEETH; ADULT,CIE,,,,,,,,
1,,-,140,150,N,50,60,E,NW,20.,,,,~9 teeth; adult,AWA,,,,,,,,
1,,-,140,150,N,50,60,E,NW,20.,,,,~10 broken teeth; adult,AWA,,,,,,,,
11,,,140,150,N,50,60,E,NW,20.,,,,RESIN-RC,GM,,,,,,,,
17,,-,140,150,N,50,60,E,NW,22.,,,,Powdered tissue sample,MBB,,,,,,,,
21,,-,140,150,N,50,60,E,NW,23.,,,,Empty tube with dust residue,MBB,,,,,,,,
31,,-,140,150,N,50,60,E,NW,23.,14,1998,,Bone,AWA,,,,,,,,
31,,-,140,150,N,50,60,E,NW,24.,14,1998,,Teeth; adult,AWA,,,,,,,,
,,6,140,150,N,50,60,E,NW,24.,,1998,,TEETH AND LONG BONE,GM,,,,,,,,
10,,-,140,150,N,50,60,E,NW,25.,,1998,,Bone fragments (some rib); child,MBB,,,,,,,,
,,6,140,150,N,50,60,E,NW,25.,,1998,,"TEETH, TISSUE, AND VERTEBRAE ",GM,,,,,,,,
14,,,140,160,N,50,60,E,NW,26.,,,,SKIN AND 6 TEETH,GM,,,,,,,,
25,,-,140,150,N,50,60,E,NW,27.,,,,Rib; child,AWA,,,,,,,,
24,,-,140,160,N,50,60,E ,NW,28.,,,,Skin; infant,MBB,,,,,,,,
22,,-,140,150,N,50,60,E,NW,1,,,,FOOT TISSUE,GM,,,,,,,,
25,,-,140,150,N,50,60,E,NW,10,,,,Rib pieces; adult,AWA,,,,,,,,
3,,-,140,160,N,50,60,E,NW,16,,,,2 RIB ,GM,,,,,,,,
3,,-,140,150,N,50,60,E,NW,17,,,Y,12 TEETH AND FRAGMENTS,GM,,,,,,,,
4,,-,140,150,N,50,60,E,NW,18,,,,16 teeth; (2 child?) 14 adult,MBB,,,,,,,,
8,,-,140,150,N,50,60,E,NW,2,,,Yes,9 teeth; adult,MBB,,,,,,,,
8,,-,140,150,N,50,60,E,NW,20,,,,4 rib fragments; sub-adult,MBB,,,,,,,,
2,,-,140,150,N,50,60,E,NW,21,,,,10 teeth; adult,MBB,,,,,,,,
-,,2,140,150,N,50,60,E,NW,21,,,,MANDIBLE AND TEETH FRAGMENTS; CHILD,CIE,,,,,,,,
,,6,140,150,N,50,60,E,NW,22,,1998,,SKIN AND JEWELLERY,GM,,,,,,,,
31,,-,140,150,N,50,60,E,NW,23,,1998,,"""Fibula""; child",AWA,,,,,,,,
31,,-,140,150,N,50,60,E,NW,24,,1998,,Skin; femur,AWA,,,,,,,,
,,6,140,150,N,50,60,E,NW,25,,1998,,"RIBS, SKIN, AND TEETH",GM,,,,,,,,
34,,,140,150,N,50,60,E,NW,26,,1998,,Lung,AWA,,,,,,,,
34,,,140,150,N,50,60,E,NW,27,,1998,,4 teeth; adult,AWA,,,,,,,,
29,,-,140,160,N,50,60,E ,NW,48-02,,2000,,"4 UNK LONG BONE FRAG (TOO DIRTY TO SEE), 1 TOOTH; POSS CHILD",CIE,,,,,,,,
-,,1,140,150,N,50,60,E,NW,6,,2/18/1992,,MANDIBLE AND 4 TEETH; ADULT,CIE,,,,,,,,
-,,4,140,150,N,50,60,E,NW,6,,,,"RIB BONES, INFANT",CIE,,,,,,,,
