Rack,N/S,,E/W,,Square ,AREA,Burial#,Rack,TUBE#,Description,Size (ml),Foci,C14 Sample 2017,Location,Question(s),,Conventional 14C age BP,14C Calendar Date,Calibrated 95% Calendar Date MAX,Calibrated 95% Calendar Date MIN,Calibrated 95% Calendar Date SPAN,Calibrated 95% Calendar Date AVG,Category,Notes,
5,40,N,70,E,NULL,4,1,5,,TOMB 5   TEETH (5),15,5,1,Hill B excavation; east side of Hill B; possibly from tomb 5,Hill B burials are likely Ptolomeic contrasted with the open burials which date to Roman.  Are Hill B burials Ptolomeic?  ,1,2175,-157,-360,-167,193,264 BC,Hill B,Arizona Lab,
31,30,N,50,E,NULL,1,3,31,,"Muscle tissue from face, maybe burial 2?",15,5,2,Hill B excavation; west side of Hill B; possibly from tomb 1,Hill B burials are likely Ptolomeic contrasted with the open burials which date to Roman.  Are Hill B burials Ptolomeic? ,,,,,,,321 BC,Hill B,UCI Lab - dating discrepancy,
31,30,N,50,E,NULL,1,3,31,,"Muscle tissue from face, maybe burial 2?",15,5,2,Hill B excavation; west side of Hill B; possibly from tomb 1,Hill B burials are likely Ptolomeic contrasted with the open burials which date to Roman.  Are Hill B burials Ptolomeic? ,1,2835,-817,-1050,-922,128,986 BC,Hill B,Arizona Lab - dating discrepancy,
13,140,N,50,E,NW,,25,13,,Teeth 4,15,4,3,Deepest Head East at 2.3m; Adult,What is the age of the deepest Head East burials?  Is there a relationship between depth of burial and chronological date?,2,2126,-108,-206,-55,151,131 BC,Deepest East,Arizona Lab,
8,150,N,50,E,SW,,20,4,,Rib fragments 4,15,4,6,Deepest Head East at 2.3m; Adult,What is the age of the deepest Head East burials?  Is there a relationship between depth of burial and chronological date?,2,1922,96,25,130,105,78,Deepest East,Arizona Lab,
31,200,N,30,E,SW,,35,31,,Teeth 2,15,1,11,Deepest Head East at 1.92m; Adult,What is the age of the deepest Head East burials?,2,2233,-215,-324,-205,119,265 BC,Deepest East,Arizona Lab,
3,150,N,0,W,NE,,37,3,,TEETH (4),15,2,14,Deepest Head East at 2.3m; Adult,What is the age of the deepest Head East burials?  Is there a relationship between depth of burial and chronological date?,2,1971,47,-39,76,115,19,Deepest East,Arizona Lab,
15,160,N,10,E,SE,,50,15,4,Teeth 5,15,3,16,Deepest Head East at 2.64m; Adult,What is the age of the deepest Head East burials?  Is there a relationship between depth of burial and chronological date?,2,2134,-116,-210,-87,123,149 BC,Deepest East,Arizona Lab,
,,,,,SE,,47,,,,,,,,Deepest head east burial,,,,,,,155,Deepest East,BETA Analytics  ,
15,150,N,50,E,SW,,11,15,,Teeth 3,15,4,8,Deepest Head West at 2.87m; adult,What is the age of the deepest Head West burials?  Is there a relationship between depth of burial and chronological date?,3,1921,97,5,135,130,70,Deepest WEST,Arizona Lab,
