Codes for the Fag el Gamous Database,
,
,
HAIR COLOR,
B,Brown/Dark Brown/Lt Brown
K,Black
A,Brown-Red
R,Red/Red-Bl
D,Blond
U,Unknown
,
Burial Wrapping,
W,Full or nearly full wrapping remains
H,Partial wrapping remain
B,Bones and/or only partial remnants of wrapping remains
U,Unknown
,
Burial Adult Child,
A,Adult
C,"any non adult including infant, child, juvenile, fetus"
,
Gender Code single,
F,Female
M,Male
U,Unknown - gender may not be recorded/children gender is usually indeterminate or unknown
,
Age Code,
A,Adult - year 15+
C,Child - years 3-15
I,Infant - years 1-3
N,Newborn - year 0-1 
U,Unknown
,
,
