GAMOUS,BURIALSQUARE,NORS,SQ2,EORW,AREA,BURIALNUM,WESTTOHEAD,WESTTOFEET,SOUTHTOHEAD,SOUTHTOFEET,DEPTH,PRESERVATION,BURIALICON,BURIALICON2,SEX,SEXMETHOD,AGEATDEATH,AGEMETHOD,HAIRCOLOR,SAMPLE
1,140,N,0,E,SE,1,2.16,0,4,0,0.08,bones and skull,B,A,F,pelv,35-40,SKUL,,N
2,140,N,0,E,SE,2,2.6,0,3,0,0.08,Skull only,B,A,F,SKUL,20-30,SKUL,,
3,140,N,0,E,SE,3,4.9,0,0.14,0,4,bones,B,C,F,SKUL,14 years,SKUL,,Y
4,140,N,0,E,SE,4,1.86,0,0.61,0,0.12,bones and skull,B,A,M,SKUL,14 years,SKUL,,
5,140,N,0,E,SE,5,2.98,0,2.56,0,0.79,bones and skull,B,C,S,SKUL,6-8 years,SKUL,,
6,140,N,0,E,SE,6,3.58,5,5,4.75,1,well-wrapped,W,A,F,PELV,20-40,SKUL,black,Y
7,140,N,0,E,SE,7,3.38,4.88,4.56,4.51,1.08,"wrapped, head showing",H,A,F,pelv,20-40,SKUL,Blond,Y
8,140,N,0,E,SE,8,2.96,0,2,0,0.96,bones and skull,B,A,M,SKUL,20,skul,,
9,140,N,0,E,SE,9,1.42,3.22,4.76,4.57,0.96,wrapped,W,A,f,SKUL,35+,SKUL,Blond,Y
10,140,N,0,E,SE,10,2.48,0,2.48,0,1.41,scattered bones with skull,B,A,M,SKUL,25-35,SKUL,,
11,140,N,0,E,SE,11,4.21,0,3.84,0,0.5,scattered bones with skull,B,C,S,skul,child,skul,,
12,140,N,0,E,SE,12,1.37,2.22,2.25,2.1,0.84,wrapped - bones showing,B,A,F,pelv,30+,skul,,
13,140,N,0,E,SE,13,3.77,2,1.33,1.74,1.53,bones and skull,B,A,F,skul,Adult,skul,brown,Y
14,140,N,0,E,SE,14,2.08,3.42,0.52,-0.37,1.73,bones and skull,B,A,M,skul,40+,skul,brown,Y
15,140,N,0,E,SE,15,2.34,3.8,3.71,3.2,2.66,bones and skull,B,A,F,skul,25-35,skul,,
16,140,N,0,E,SE,16,0.58,2.3,1.72,4.18,1.19,poorly preserved,W,A,F,pelv,25-35,pelv,,
17,140,N,0,E,SE,17,1.15,0,3.8,2.83,0.75,wrapped,W,A,F,pelv,-10,PELV,null,
18,140,N,0,E,SE,18,4.95,0,3.75,3.77,0.9,wrapped,W,A,F,pelv,18-24,pelv,,
19,140,N,0,E,SE,19,3.66,0,2.11,0,1.52,bones and skull,B,C,S,skul,0-6 months,skul,,
20,140,N,0,E,SE,20,3.44,2.14,0.21,0.59,1.9,bones and skull,B,A,F,pelv,18-24,skul,brown,Y
21,140,N,0,E,SE,21,2.94,4.21,4.11,2.94,2.88,bones and skull,B,A,M,pelv,24,skul,brown,
22,140,N,0,E,SE,22,3.11,2.59,0.48,0.87,2.26,Skull only,B,A,M,skul,40+,skul,,
23,140,N,0,E,SE,23,1.99,3.3,1.09,0.84,2.59,bones and skull,H,A,S,pelv,15-20,skul,,
24,140,N,0,E,SW,1,2.35,1.15,3.5,4,0.5,wrapped - bones showing,H,A,F,SKUL,30,skul,,N
25,140,N,0,E,SW,2,3.48,2.9,3.74,3.74,0.5,poorly preserved,W,C,S,pelv,6 mos -1 yr,SKUL,RED,Y
26,140,N,0,E,SW,3,3.9,3.35,3.88,3.9,0.5,poorly preserved,W,C,S,skul,6 months,skul,,N
27,140,N,0,E,SW,4,4.9,3.44,4.25,4.1,0.66,wrapped,W,A,M,pelv,26-33,pelv,Black,Y
28,140,N,0,E,SW,5,3.66,1.79,2.54,3.04,0.66,wrapped,W,A,M,PELV,40+,skul,,0
29,140,N,0,E,SW,6,1.47,3.17,2.44,2.05,0.5,wrapped,W,A,M,PELV,20-40,SKUL,,
30,140,N,0,E,SW,7,0.87,0,3.83,0,0.66,Skull only,B,A,F,SKUL,20+,SKUL,,
31,140,N,0,E,SW,8,0.75,0,4.28,0,0.66,Skull only,B,C,S,skul,3-6 years,skul,,
32,140,N,0,E,SW,9,0.6,0,4.43,0,0.66,Skull only,B,C,S,skul,12-20 years,skul,,
33,140,N,0,E,SW,10,0.2,0,4.43,0,0.66,Skull only,B,C,S,SKUL,12-20 years,SKUL,,
34,140,N,0,E,SW,11,0.6,0,4.15,0,0.66,Skull only,B,C,S,SKUL,Infant,SKUL,,
35,140,N,0,E,SW,12,2.48,4.23,2.93,2.83,0.66,well-wrapped,W,A,M,pelv,25-35,SKUL,,
36,140,N,0,E,SW,13,1.12,2.78,3.27,3.27,0.5,wrapped,W,A,F,PELV,20-40,SKUL,,
37,140,N,0,E,SW,14,2.64,4.12,3.63,3.66,0.5,wrapped,H,A,F,pelv,40+,SKUL,,
38,140,N,0,E,SW,15,0.25,1.52,2.24,1.85,0.8,wrapped,W,A,M,PELV,25-30,SKUL,,
39,140,N,0,E,SW,16,2.94,4.4,4.52,4.07,1.5,wrapped - bones showing,H,A,F,pelv,40+,SKUL,,
40,140,N,0,E,SW,17,2.66,4.26,4.64,4.08,1.45,poorly preserved,H,A,F,pelv,40+,skul,,
41,140,N,0,E,SW,18,4.89,1.37,4.44,4.02,0.7,poorly preserved,B,A,F,pelv,30+,skul,,
42,140,N,0,E,SW,19,1.38,2.1,4.11,4.07,1,poorly preserved,W,C,S,pelv,18 months,skul,,
43,140,N,0,E,SW,20,1.49,3.04,3.05,2.72,1.86,SKELETON,B,A,M,pelv,40+,skul,,
44,140,N,0,E,SW,21,3.04,0,3.25,0,1.75,bones,B,C,S,pelv,6-18 months,pelv,,
45,140,N,0,E,SW,22,2.14,1.4,1.4,0,1.9,poorly preserved,H,A,F,pelv,22,skul,,
46,140,N,0,E,SW,23,2.24,3.91,3.81,3.53,2.54,SKELETON,B,A,M,pelv,40+,skul,Black,Y
47,150,N,0,E,NW,1,0.8,2.36,4.78,4.8,0.54,wrapped,W,A,F,pelv,III,skul,black,Y
48,150,N,0,E,NW,2,1.55,1.25,2.2,2.1,0.8,"wrapped, head showing",H,C,S,pelv,,,br-red,Y
49,150,N,0,E,NW,3,0,1.1,2.4,1.95,0,well-wrapped,W,C,S,pelv,,,br-red,Y
50,150,N,0,E,NW,4,0.24,0.24,4.22,3.58,1.55,wrapped,W,A,,pelv,I,skul,Black,Y
51,150,N,0,E,NW,5,0,2,0,0,0,well-wrapped,W,A,M,pelv,I,skul,black,Y
52,150,N,0,E,NW,6,2.8,2.8,2.6,2.5,0,poorly preserved,W,C,S,pelv,,,br-red,Y
53,150,N,0,E,NW,7,2.5,4.2,1.2,0.7,0,poorly preserved,H,A,M,pelv,,,Black,Y
54,150,N,0,E,NW,8,3.55,5.4,2.6,2.55,0.9,poorly preserved,H,A,F,pelv,V,skul,Black,Y
55,150,N,0,E,NW,9,2.5,4.06,3.7,3.7,0.9,SKELETON,B,A,F,pelv,V,skul,,Y
56,150,N,0,E,NW,10,3.53,1.9,2.8,2.7,1,wrapped,W,A,F,pelv,IV,skul,Brown,Y
57,150,N,0,E,NW,11,3.9,2.4,0.7,0.6,1.2,poorly preserved,W,C,F,pelv,15 years,skul,Brown,Y
58,150,N,0,E,NW,12,1.6,2.4,0.8,0.52,1.2,poorly preserved,H,C,S,pelv,18 months,skul,red,Y
59,150,N,0,E,NW,13,-0.2,1.68,1.25,1,1.7,wrapped,W,A,M,pelv,I,pelv,Brown,Y
60,150,N,0,E,NW,14,0.5,1.4,0.3,0,0.9,poorly preserved,H,C,S,pelv,2-4 years,skul,br-red,Y
61,150,N,0,E,NW,15,0.5,0,0.4,0,1,bones and skull,H,C,S,pelv,2-3 years,skul,br-red,Y
62,150,N,0,E,NW,16,1.55,3,0.9,0.4,1.33,poorly preserved,B,A,F,pelv,IV,pelv,Brown,Y
63,150,N,0,E,NW,17,1.5,2.3,1.35,1.2,1.7,,B,C,S,pelv,Infant,pelv,,Y
64,150,N,0,E,NW,18,3.6,4.6,2.5,2.5,0.9,SKELETON,B,A,M,pelv,IV,Pelv,dkbrwn,Y
65,150,N,0,E,NW,19,3.75,4.26,4.85,4.75,1,SKELETON,B,C,S,pelv,12-18 mos.,skul,Brown,Y
66,150,N,0,E,NW,20,2.62,3.35,3.2,3.17,1.1,SKELETON,B,C,S,pelv,12-18 mos.,skul,,
67,150,N,0,E,NW,21,2.94,4.21,4.11,2.94,2.88,bones and skull,B,A,M,pelv,24,skul,null,Y
68,150,N,0,E,NW,22,1.21,3.12,3.45,3.87,1.8,poorly preserved,B,A,M,pelv,IV,Pelv,Brown,Y
69,150,N,0,E,NW,23,0.25,1.35,2.82,2.7,1.1,well-wrapped,W,C,S,pelv,6 months,skul,,N
70,150,N,0,E,NW,24,0.08,1.15,2.7,2.4,1.2,poorly preserved,W,C,S,pelv,3.5 years,skul,Brown,Y
71,150,N,0,E,NW,25,0.25,1.13,2.5,2.4,1.3,poorly preserved,H,C,S,pelv,1 year,skul,br-red,Y
72,150,N,0,E,NW,26,2.2,0,3.1,0,1.4,bones and skull,B,A,M,pelv,40-50?,skul,,N
73,150,N,0,E,NW,27,1.05,2.6,3.5,2.85,1.6,SKELETON,B,A,M,pelv,V,Pelv,Brown,Y
74,150,N,0,E,NW,28,1.74,3.54,2.45,2.35,1.9,SKELETON,B,A,M,pelv,IV,Pelv,,N
75,150,N,0,E,NW,29,2.3,1.12,2.1,1.87,2.3,SKELETON,H,A,,,,,,Y
76,150,N,0,E,NW,30,-0.1,3.2,5.2,4.95,1.2,wrapped,W,A,M,pelv,IV,pelv,Brown,Y
77,150,N,0,E,NW,31,2.63,0,3.83,0,1,poorly preserved,H,C,S,skul,18 months,skul,br-red,Y
78,150,N,0,E,NW,32,2.3,1.56,4.52,4.23,1.45,wrapped,W,C,S,pelv,4 years,skul,br-red,Y
79,150,N,0,E,NW,33,1.35,2.14,4.57,4.41,1.5,poorly preserved,H,C,S,pelv,4 years,skul,br-red,Y
80,150,N,0,E,NW,34,2.58,1.2,3.45,3.75,2,scattered bones with skull,B,A,M,pelv,IV?,skul,,Y
81,150,N,0,W,NE,1,2.05,0,1.58,0,0.7,poorly preserved,H,C,S,skul,child,skul,,N
82,150,N,0,W,NE,2,0.38,2.1,2.7,2.5,1,poorly preserved,H,A,F,pelv,V,pelv,Brown,Y
83,150,N,0,W,NE,3,0.8,2,2.25,2.15,1,bones and skull,H,C,S,skul,6-7 years,skul,brown,Y
84,150,N,0,W,NE,4,0,0,0,0,0,poorly preserved,W,C,S,pelv,Newborn?,Pelv,,
85,150,N,0,W,NE,5,3.4,0,1.7,0,0.9,wrapped,W,C,S,pelv,Infant,skul,br-red,Y
86,150,N,0,W,NE,6,2.3,3.9,4.8,4.6,1,poorly preserved,W,C,S,pelv,16-21,pelv,brown,Y
87,150,N,0,W,NE,7,2.13,2.8,1,0.92,0.9,poorly preserved,W,C,S,pelv,6 months,skul,rd-bln,Y
88,150,N,0,W,NE,8,2.1,3.96,1.37,1.47,1,poorly preserved,W,A,F,pelv,25,skul,Black,Y
89,150,N,0,W,NE,9,3.52,4.12,1.11,0.85,1,well-wrapped,W,C,S,pelv,6-12 months,skul,red,Y
90,150,N,0,W,NE,10,4,5.6,1.11,0.76,1,wrapped,W,A,M,pelv,IV,Pelv,brown,Y
91,150,N,0,W,NE,11,3.5,4.98,2.8,2.9,0.7,wrapped,W,A,F,pelv,V-VI,Pelv,rd-bln,Y
92,150,N,0,W,NE,12,2.2,3.6,1,1,1,Body only,H,C,S,skul,12,skul,brown,Y
93,150,N,0,W,NE,13,2.02,2.8,1.2,1.2,1.1,well-wrapped,W,A,M,pelv,V,Pelv,dkbrwn,Y
94,150,N,0,W,NE,14,2.42,4.33,2.63,2.6,1,poorly preserved,W,C,S,skul,3-5 years,skul,brown,Y
95,150,N,0,W,NE,15,3.25,2.95,2.9,5,1,poorly preserved,H,A,M,pelv,V,Pelv,brown,Y
96,150,N,0,W,NE,16,3.3,4.28,3.2,3.15,1,poorly preserved,H,C,S,skul,6 years,skul,brown,Y
97,150,N,0,W,NE,17,3.28,5.1,3.4,3.15,1.2,wrapped,W,A,M,pelv,IV,Pelv,Brown,Y
98,150,N,0,W,NE,18,2.4,3.07,2.68,2.73,1.1,scattered bones with skull,H,C,S,skul,2.5 - 4 yrs,skul,brown,Y
99,150,N,0,W,NE,19,2.57,0,1,2.57,1.4,poorly preserved,H,C,S,skul,9 months,skul,brown,Y
100,150,N,0,W,NE,20,3.26,5,2.15,1.86,1.6,wrapped,W,A,M,pelv,III,Pelv,Brown,Y
101,150,N,0,W,NE,21,0.25,0.9,2.4,2.3,1.1,poorly preserved,H,C,S,pelv,infant,pelv,,N
102,150,N,0,W,NE,22,0.5,2,2.7,2.5,1.3,poorly preserved,H,A,M,pelv,21 years,skul,,
103,150,N,0,W,NE,23,3.1,4.4,5.4,4.5,1.3,wrapped - bones showing,H,A,F,pelv,III,Pelv,Brown,Y
104,150,N,0,W,NE,24,2.76,4.24,5.23,4.4,1.3,well-wrapped,W,A,F,pelv,V-VI?,pelv,Brown,Y
105,150,N,0,W,NE,25,2.2,0,1.8,0,1.4,well-wrapped,W,C,S,pelv,6 months,skul,Red,Y
106,150,N,0,W,NE,26,0.9,0,3,0,1.1,bones and skull,B,A,F,pelv,IV,Pelv,Brown,Y
107,150,N,0,W,NE,27,2.95,3.7,1.66,1.3,1.5,wrapped,W,C,S,skul,20 months,skul,brown,Y
108,150,N,0,W,NE,28,4.54,3.4,2.5,2.7,2.2,SKELETON,B,C,S,pelv,6 years,skul,,N
109,150,N,0,W,NE,29,4.82,3.26,1.9,2.12,2.25,SKELETON,B,A,F,pelv,IV,pelv,Brown,Y
110,150,N,0,W,NE,30,5,3.5,1.45,1.85,2.6,SKELETON,B,A,F,pelv,IV,Skul,,Y
111,150,N,0,W,NE,31,1,1.66,2.27,2.31,1.7,poorly preserved,W,C,S,skul,6 months,skul,Brown,Y
112,150,N,0,W,NE,32,4.72,6.48,4.66,4.7,1.4,well-wrapped,W,A,F,pelv,IV,skul,br-red,Y
113,150,N,0,W,NE,33,4.5,6.1,4.4,4.1,2,poorly preserved,H,A,F,pelv,III?,skul,,
114,150,N,0,W,NE,34,4.9,5.7,3.7,3.5,2,poorly preserved,B,C,S,skul,3 years,skul,brown,Y
115,150,N,0,W,NE,35,0.58,1.6,2.3,2.2,1.9,poorly preserved,B,C,S,skul,6 Years,skul,brown,Y
116,150,N,0,W,NE,36,4.6,6.2,4.2,3.8,2.2,SKELETON,B,A,F,pelv,II,skul,Brown,Y
117,150,N,0,W,NE,37,1.95,0.4,2.4,2.65,2.3,poorly preserved,B,A,F,pelv,V,skul,Brown,Y
118,150,N,0,W,NE,38,0,0,0,0,0,bones and skull,B,A,F,pelv,III,skul,Brown,Y
119,150,N,0,W,NE,39,0,0,0,0,0,bones and skull,B,A,F,pelv,20 years,PELV,,N
120,150,N,0,W,NE,40,0.35,2.05,4.3,4.3,1,poorly preserved,W,A,F,pelv,III-IV?,skul,ltbrwn,Y
121,150,N,0,W,NE,41,1.6,2.25,5,5,0.9,bones and skull,B,C,S,skul,18 months,skul,br-red,Y
122,160,N,0,W,NW,1,2.6,3.1,2.9,2.85,0.5,poorly preserved,W,C,S,skul,6 months,skul,,N
123,160,N,0,W,NW,2,3.1,3.8,2.8,2.65,0.5,poorly preserved,H,C,S,pelv,2 years,skul,,Y
124,160,N,0,W,NW,3,3.13,4.95,2.61,3.9,0.64,poorly preserved,H,A,M,pelv,IV-V?,pelv,brown,Y
125,160,N,0,W,NW,4,1,2.5,0.1,-0.2,0.85,wrapped,W,C,S,pelv,I,pelv,Brown,Y
126,160,N,0,W,NW,5,0.05,1.2,2.1,2.2,0.8,well-wrapped,W,C,S,pelv,6-8 years,skul,dkbrwn,Y
127,160,N,0,W,NW,6,1,2.7,0.8,0.5,1.3,wrapped,W,C,S,pelv,,,,
175,160,N,0,W,NW,7,-0.2,1.5,1.8,1.9,0.9,poorly preserved,W,A,M,Pelv,V,Pelv,dkbrwn,Y
129,160,N,0,W,NW,8,2,2.8,4.35,4.1,0.8,wrapped,W,C,S,pelv,6 months,skul,brown,Y
130,160,N,0,W,NW,9,1.1,2.9,4.4,4.1,1,SKELETON,H,C,M,skul,IV,Pelv,Brown,Y
131,160,N,0,W,NW,10,-0.15,0.9,1.6,1.7,0.95,bones and skull,B,C,S,skul,6-7 years,skul,,Y
132,160,N,0,W,NW,11,1.1,1.7,0.3,0.2,1,poorly preserved,H,C,S,skul,3 years,skul,Brown,Y
